component_number,component,explained_variance_ratio,cumulative_explained_variance
262,PC262,4.0905143048316555e-05,0.9978999631772686
263,PC263,4.06275974613287e-05,0.99794059077473
264,PC264,3.95165868593283e-05,0.9979801073615893
265,PC265,3.88418191382495e-05,0.9980189491807275
266,PC266,3.82893914727757e-05,0.9980572385722003
267,PC267,3.789567717840438e-05,0.9980951342493787
268,PC268,3.697954074891665e-05,0.9981321137901276
269,PC269,3.595605585160946e-05,0.9981680698459792
270,PC270,3.526271679869667e-05,0.9982033325627778
271,PC271,3.4903239388999415e-05,0.9982382358021669
272,PC272,3.4620189145216326e-05,0.9982728559913121
273,PC273,3.387646127106132e-05,0.9983067324525832
274,PC274,3.315239090853882e-05,0.9983398848434917
275,PC275,3.2620297800158397e-05,0.9983725051412918
276,PC276,3.1728814545648005e-05,0.9984042339558374
277,PC277,3.148266740025902e-05,0.9984357166232377
278,PC278,3.096309895600167e-05,0.9984666797221937
279,PC279,3.058564646224207e-05,0.9984972653686559
280,PC280,2.9500853080384984e-05,0.9985267662217363
281,PC281,2.918364185904217e-05,0.9985559498635953
282,PC282,2.8958004587611472e-05,0.9985849078681829
283,PC283,2.8545289547301688e-05,0.9986134531577302
284,PC284,2.8024096389644924e-05,0.9986414772541199
285,PC285,2.7653922063931258e-05,0.9986691311761838
286,PC286,2.7405320995832385e-05,0.9986965364971797
287,PC287,2.7138012414197678e-05,0.9987236745095939
288,PC288,2.6274645614081682e-05,0.998749949155208
289,PC289,2.5908645004879707e-05,0.9987758578002128
290,PC290,2.544424393242785e-05,0.9988013020441453
291,PC291,2.507380885863432e-05,0.9988263758530039
292,PC292,2.4665910026884336e-05,0.9988510417630309
293,PC293,2.4071438499183802e-05,0.99887511320153
294,PC294,2.3909358612279155e-05,0.9988990225601423
295,PC295,2.3233863005749524e-05,0.998922256423148
296,PC296,2.3190114143702814e-05,0.9989454465372918
297,PC297,2.298844911551018e-05,0.9989684349864073
298,PC298,2.2697720387599345e-05,0.998991132706795
299,PC299,2.233894567306053e-05,0.999013471652468
300,PC300,2.1763620707656692e-05,0.9990352352731756
301,PC301,2.1316961437756272e-05,0.9990565522346134
302,PC302,2.1017868771016965e-05,0.9990775701033845
303,PC303,2.0642911605401087e-05,0.9990982130149899
304,PC304,2.0533513068052126e-05,0.999118746528058
305,PC305,2.024910904667658e-05,0.9991389956371046
306,PC306,1.981595637249365e-05,0.9991588115934771
307,PC307,1.9463548221510217e-05,0.9991782751416985
308,PC308,1.924862231409171e-05,0.9991975237640126
309,PC309,1.890382207207127e-05,0.9992164275860846
310,PC310,1.8591153812738823e-05,0.9992350187398974
311,PC311,1.828129762997857e-05,0.9992533000375273
312,PC312,1.8068799785392963e-05,0.9992713688373127
313,PC313,1.753867451189861e-05,0.9992889075118246
314,PC314,1.7449749548618463e-05,0.9993063572613733
315,PC315,1.7026619651353784e-05,0.9993233838810246
316,PC316,1.6877110992688027e-05,0.9993402609920173
317,PC317,1.6756596630670094e-05,0.999357017588648
318,PC318,1.656238457098174e-05,0.999373579973219
319,PC319,1.6127731728712544e-05,0.9993897077049477
320,PC320,1.6033852746980597e-05,0.9994057415576947
321,PC321,1.5760664263500293e-05,0.9994215022219581
322,PC322,1.5522940394692457e-05,0.9994370251623528
323,PC323,1.503683921827701e-05,0.9994520620015711
324,PC324,1.471476223177003e-05,0.9994667767638029
325,PC325,1.4539229894986365e-05,0.9994813159936979
326,PC326,1.4350927235992345e-05,0.999495666920934
327,PC327,1.3907975464662801e-05,0.9995095748963986
328,PC328,1.3798849305841581e-05,0.9995233737457044
329,PC329,1.3447399980500935e-05,0.999536821145685
330,PC330,1.3198485482956253e-05,0.999550019631168
331,PC331,1.298342260110938e-05,0.9995630030537691
332,PC332,1.2844904618307001e-05,0.9995758479583874
333,PC333,1.254624957825955e-05,0.9995883942079656
334,PC334,1.2015886891400707e-05,0.999600410094857
335,PC335,1.1893575279998746e-05,0.999612303670137
336,PC336,1.163734803126832e-05,0.9996239410181682
337,PC337,1.1518787479823546e-05,0.999635459805648
338,PC338,1.1221127517862094e-05,0.9996466809331659
339,PC339,1.1052378552387106e-05,0.9996577333117183
340,PC340,1.0712089256973972e-05,0.9996684454009752
341,PC341,1.0482320756343614e-05,0.9996789277217315
342,PC342,1.0374538128392074e-05,0.9996893022598599
343,PC343,1.0078471025650156e-05,0.9996993807308855
344,PC344,9.712083290976168e-06,0.9997090928141764
345,PC345,9.51505881250104e-06,0.9997186078729889
346,PC346,9.256541092789045e-06,0.9997278644140817
347,PC347,8.971147051898618e-06,0.9997368355611336
348,PC348,8.779129408651575e-06,0.9997456146905422
349,PC349,8.592699506662938e-06,0.9997542073900489
350,PC350,8.380020349506825e-06,0.9997625874103985
351,PC351,8.077020814520423e-06,0.999770664431213
352,PC352,7.924532333049454e-06,0.999778588963546
353,PC353,7.5672391555492255e-06,0.9997861562027015
354,PC354,7.3241070770578685e-06,0.9997934803097785
355,PC355,7.184224854998268e-06,0.9998006645346336
356,PC356,7.0007565440597055e-06,0.9998076652911776
357,PC357,6.861754196584929e-06,0.9998145270453742
358,PC358,6.788841358627332e-06,0.9998213158867328
359,PC359,6.5848423546943605e-06,0.9998279007290876
360,PC360,6.131308526966707e-06,0.9998340320376146
361,PC361,5.792675294221161e-06,0.9998398247129088
362,PC362,5.654042592929155e-06,0.9998454787555017
363,PC363,5.599272996082919e-06,0.9998510780284977
364,PC364,5.449900638435654e-06,0.9998565279291362
365,PC365,5.221745958221076e-06,0.9998617496750943
366,PC366,4.9973179218498134e-06,0.9998667469930161
367,PC367,4.889123489530304e-06,0.9998716361165056
368,PC368,4.769222796061436e-06,0.9998764053393017
369,PC369,4.650253501766098e-06,0.9998810555928034
370,PC370,4.504095644725048e-06,0.9998855596884481
371,PC371,4.464929231275073e-06,0.9998900246176793
372,PC372,4.392294525334769e-06,0.9998944169122046
373,PC373,4.319564944536833e-06,0.9998987364771491
374,PC374,4.1405244275887194e-06,0.9999028770015767
375,PC375,4.048683489806728e-06,0.9999069256850664
376,PC376,3.951163442105576e-06,0.9999108768485085
377,PC377,3.7608749616571785e-06,0.9999146377234702
378,PC378,3.7022406126327987e-06,0.9999183399640829
379,PC379,3.6613932021736654e-06,0.999922001357285
380,PC380,3.6215655071471446e-06,0.9999256229227922
381,PC381,3.3083178095975253e-06,0.9999289312406018
382,PC382,3.1996325752169615e-06,0.999932130873177
383,PC383,2.987835179209676e-06,0.9999351187083562
384,PC384,2.765362636696805e-06,0.9999378840709928
385,PC385,2.6965033457089497e-06,0.9999405805743385
386,PC386,2.6596780982945075e-06,0.9999432402524369
387,PC387,2.486452300014995e-06,0.9999457267047369
388,PC388,2.3631361646438625e-06,0.9999480898409016
389,PC389,2.2991600382465247e-06,0.9999503890009398
390,PC390,2.214636699750757e-06,0.9999526036376396
391,PC391,2.198692032200263e-06,0.9999548023296718
392,PC392,2.148480797112459e-06,0.999956950810469
393,PC393,2.1204198739678724e-06,0.999959071230343
394,PC394,2.0011081833626545e-06,0.9999610723385264
395,PC395,1.8601679167577687e-06,0.9999629325064432
396,PC396,1.7449356438244771e-06,0.9999646774420871
397,PC397,1.6373973715904928e-06,0.9999663148394586
398,PC398,1.5642673995200812e-06,0.9999678791068581
399,PC399,1.5447059760680647e-06,0.9999694238128342
400,PC400,1.4807408348810773e-06,0.999970904553669
401,PC401,1.4226344556276706e-06,0.9999723271881246
402,PC402,1.3859078024441806e-06,0.999973713095927
403,PC403,1.376633784906588e-06,0.9999750897297118
404,PC404,1.3285148826903745e-06,0.9999764182445945
405,PC405,1.2721736349681728e-06,0.9999776904182295
406,PC406,1.0707433945938188e-06,0.9999787611616241
